1,Constant variables can be created in CPP by using,,,A. enum,B.const,C.#define,D.All of these,D
1,Object oriented programming employs_________ programming approach.,,,A. top-down,B.procedural,C.bottom-up,D.All of these,C
1,"In CPP, cin and cout are the predefined stream __________ .",,,A.operator,B.Functions,C.Objects,D.Objects,C
1,_________________are used for generic programming.,,,A.inheritance,B.virtual Functions,C.Templates,D.None of these,C
1,Can a class be declared/defined inside another class ?,,,A.Yes,B. No,C. Sometimes,D. None of these,A
1,Classes in CPP are________ .,,,A. derived data types,B. User defined data types,C.built-in data types,D. All of these,B
1,Which of the followings is/are not keyword/s in CPP?,,,A.virtual,B. show,C. friend,D. case,B
1,"In CPP, it is mandatory and must to initialize const variables.",,,A. true,B. false,C. sometimes,D. none of these,A
1,Logical expressions produce ____________ type results.,,,A. explicit,B. garbage,C. bool,D. static,C
1,Static variable declared in a class are also called_________ .,,,A. instance variable,B. named constant,C. global variable,D. class variable,D
1,Static variable must be declared in public section of the class.,,,A. True,B. false,C. sometimes,D. depends on compiler,B
1,"In CPP, the size of the character array should be one larger than the number of characters in the string.",,,A. True,B. False,C. sometimes,D. depends on compiler,A
1,"If a program uses Inline Function, then the function is expanded inline at ___________.",,,A. compile time,B. Run time,C. Both a and b,D. depends on compiler,B
1,Which of the following is CPP style type-casting?,,,A. per = total/(float)m,B. per = total/float(m),C. per = (float)total/m,D. none of these,B
1,"By default, members of the class are ____________ in nature.",,,A. protected,B. private,C. public,D. static,B
1,Default value of static variable is_____,,,A. 0,B. 1,C Garbage value,D. compiler dependent,A
1,Default values for a function are specified when ____,,,A. function is defined,B. function is declared,C. Both a and b,D. none of these,B
1,Default return type of functions in CPP is ____ .,,,A. void,B. long,C. char,D. int,D
1,"By default, all the files are opened in ___________mode .",,,A. Binary,B. Text,C. Can't Say,D. depends on compiler,B
2,Is there any difference in below two statements?,,,A. Yes,B. No,C. sometimes,D. depends on compiler,B
2,Can we create object of Abstract class?,,,A. No,B. Yes,C. sometimes,D. depends on compiler,A
2,Is const better than #define?,,,A. Depends on version of C++ language,B. Yes,C. No,D. depends on compiler,B
2,Exceptions are Caught at ?,,,A. Compilation Time,B. No,C. Linking Time,D. Run Time,D
2,How many object can be created of a Class in C++?,,,A. 1,B. 5,C. There is no limit,D. 256,C
2,What is size of void in C++?,,,A. 2 Bytes,B. 4 Bytes,C. Undefined,D. 0,D
2,Can any function call itself?,,,A. yes,B. No,C. Yes if it is declared in class,D. Depends on declaration type,A
2,Can a Structure contain pointer to itself?,,,A. Yes,B. No,C. Compilation Error,D. Runtime Error,A
2,Which operator has highest precedence?,,,A. (),B. =,C. *,D. ++,A
2,How to access and edit data in data file handling using structures,,,A. read(),B. write(),C. both A and B,D. without read(),C
2,What is currect syntax of for loop?,,,A. for(initialization;condition; increment/decrement),B. for(increment/decrement; initialization; condition),"C. for(initialization, condition, increment/decrement",D. None of These,A
2,Can we typecast void * into int *?,,,A. Yes,B. No,C Undefined,D. depends on compiler,A
2,What is size of int data type in cpp?,,,A. 2 Bytes,B. 4 Bytes,C. 1 Bytes,D. depends on compiler,D
2,What following operator is called ?:,,,A. Scope Resolution Operator,B. Conditional Operator,C ternary Operator,D. If else O/P,C
2,Which keyword is used to write Assembly code within a C++ program?,,,A. ASM,B. asm,C. Not Possible,D. Compiler specific,B
2,Which of the following is Right Shift operator?,,,A. <,B. <<,C. ->,D. >>,B
2,What is the latest version of C++?,,,A. C++ 19,B. C++ 13,C. C++ 17,D. C++ 14,C
2,Which part of memory is used for the allocation of local variables declared inside any function.,,,A. heap,B. Stack,C. Address Space,D. Depends on Compiler,B
2,"What is the extention of the executable file produced
after compiling C/C++ code using g++ on Linux?",,,A. .exe,B. .out,C. .lib,D. .a,B
2,What is Singleton class?,,,A. We can create n number of object,B. We can create max 256 objects,C. We can create 1 object,D. We cant create object,C
3,Which feature of the OOPS gives the concept of reusability?,,,A. Abstraction,B. Encapsulation,C. Inheritance,D. None of the above,C
3,What is the full form of STL?,,,A. Standard template library,B. Standard topics library,C. System template library,D. None of the above,A
3,What is output of the following program? :-    main() { },,,A. No Output,B. Garbage,C. Compile error,D. Runtime error,A
3,Which is the Parent class for all exceptions?,,,A. std::bad_exception,B. std::logic_error,C. std::exception,D. std::runtime_error,C
3,"Comma(,) is the operator which has least precdence among all operator.",,,A. Yes,B. No,C. depends on compiler,D. None of the above,A
3,What is Self Referencial Structure?,,,A. Structure which contains pointers,B. Structure which has pointer to itself,C. Structure which contains another structure,D. None of these,B
3,Which data structure is used by Map?,,,A. AVL Tree,B. Binary Tree,C. balance Binary tree,D. All of the above,C
3,Can we have pure Virtual Destructor?,,,A. yes,B. No,C. depends on compiler,D. None of the above,B
3,The constants are also called as,,,A. const,B. preprocessor,c. Literals,D. None of the above,C
3,What are the parts of the literal constants?,,,A. Integer numerals,B. floating-point numerals,C. string and boolean values,D. All of the above,D
3,The operator used for dereferencing or indirection is ____,,,A. *,B. &,C. ->,D. ->>,A
3,Which one of the following is not a possible state for a pointer?,,,A. hold the address of the specific object ,B. Point one past the end of an object,C. Zero,D. point to a type,D
3,Which of the following is illegal?,,,A.  int *ip;,"B. string s, *sp = 0;",C. int i; double* dp = &i;,D. int *pi = 0;,C
3,Which is used to define the member of a class externally?,,,A. :,B. ::,C. #,D. None of the above,B
3,Which other keywords are also used to declare the class other than class?,,,A. Struct ,B. union,C. object,D. Bota A and B,D
